,Titulo,Tipo,Nuevo,Ubicacion,Precio,Precio en,total inmueble (m2),techado (m2),habitaciones,baños,parqueaderos
1402,Venta de casa en el Vergel - Ibague,casa,False,"El Vergel, Ibagué, Ibagué, Tolima",1390,millones,580.0,450.0,4.0,6.0,2.0
1403,Venta de casa en Chia vereda Bojaca ,casa,False,"Chia, Chia, Cundinamarca",1100,millones,620.0,320.0,5.0,6.0,2.0
1404,Venta Casa San Joaquin Cota ,casa,False,"Vereda Pueblo Viejo, Cota, Cota, Cundinamarca",630,millones,186.0,146.0,3.0,4.0,2.0
1405,Venta Casa Villa Santos Barranquilla ,casa,False,"Villa Santos, Riomar, Barranquilla, Atlántico",630,millones,238.0,238.0,3.0,4.0,2.0
1406,Permutar Casa Bocagrande 440 mts ,casa,False,"Bocagrande, Cartagena de Indias, Cartagena, Bolívar",3500,millones,440.0,440.0,3.0,6.0,2.0
1407,Casa cedritos 101 mts,casa,False,"Cedritos, Usaquén, Bogotá, Cundinamarca",520,millones,140.0,101.0,3.0,2.0,
1408,Venta Casa Niza ,casa,False,"Las Villas, Suba, Bogotá, Cundinamarca",1080,millones,,355.0,5.0,5.0,2.0
1409,Venta de Casa Multifamiliar - El Muelle Engativá,casa,False,"Muelle, Engativá, Bogotá, Cundinamarca",900,millones,72.0,250.0,9.0,6.0,
1410,Casa para Venta o Alquiler en La Flora,casa,False,"La Flora, Cali, Cali, Valle del Cauca",520,millones,,320.0,4.0,3.0,1.0
1411,Venta  Casa Quinta en  Melgar ,casa,False,"La Florida, Melgar, Melgar, Tolima",1500,millones,622.0,345.0,6.0,10.0,5.0
1412,Venta Casa Alameda,casa,False,"Bosques De La Alameda, Usaquén, Bogotá, Cundinamarca",550,millones,,,3.0,3.0,2.0
1413,Renta o Venta casa En  chia,casa,False,"Chia, Chia, Chia, Cundinamarca",430,millones,188.0,188.0,4.0,3.0,1.0
1414,venta casa VILLA MAYOR LA NUEVA,casa,False,"Rafael Uribe, Bogotá, Cundinamarca",1000,millones,,256.0,8.0,8.0,
1415,"Calera, Venta Casa en Arboretto 304 mts ",casa,False,"La calera, La Calera, La Calera, Cundinamarca",1950,millones,1147.0,304.0,3.0,4.0,3.0
1416,VENTA CASA MARCO FIDEL SUAREZ,casa,False,"Marco Fidel Suárez, Rafael Uribe, Bogotá, Cundinamarca",500,millones,192.0,213.0,13.0,6.0,2.0
1417,Vendo Casa Santa Bárbara Central-3240730,casa,False,"Santa Bárbara Central, Usaquén, Bogotá, Cundinamarca",1400,millones,,298.0,4.0,6.0,2.0
1418,VENTA DE CASA EN BOSQUE DE PINOS,casa,False,"Cedro Golf , Usaquén, Bogotá, Cundinamarca",2000,millones,294.0,,3.0,5.0,4.0
1419,Venta de Casa para Oficina en Cedro Golf ,casa,False,"Cedro Golf , Usaquén, Bogotá, Cundinamarca",950,millones,158.0,240.0,5.0,4.0,3.0
1420,VENTA DE CASA EN CALI  (Barrio El Ingenio),casa,False,"Ingenio, Cali, Cali, Valle del Cauca",640,millones,200.0,370.0,7.0,4.0,1.0
1421,Venta casa Suba Lombardia -1999334,casa,False,"Casablanca Suba, Suba, Bogotá, Cundinamarca",249,millones,120.0,110.0,4.0,2.0,
1422,Casa esquinera para venta en Ciudad Montes,casa,False,"Ciudad Montes, Puente Aranda, Bogotá, Cundinamarca",780,millones,243.0,350.0,10.0,6.0,2.0
1423,VENTA CASA EN CENTRO HISTORICO,casa,False,"Tunja, Tunja, Tunja, Boyacá",3600,millones,286.0,286.0,4.0,3.0,
1424,Casa Venta Buenavista Chia,casa,False,"Vereda Casa De Piedra, Chia, Chia, Cundinamarca",995,millones,385.0,185.0,3.0,4.0,2.0
1425,VENTA DE CASA CALI  (Ciudad Jardin),casa,False,"Ciudad Jardin, Cali, Cali, Valle del Cauca",1450,millones,360.0,930.0,3.0,5.0,3.0
1426,VENTA CASA EDUARDO SANTOS,casa,False,"Los Mártires, Bogotá, Cundinamarca",510,millones,,180.0,4.0,2.0,
1427,Venta Casa Villa Santos Barranquilla ,casa,False,"Villa Santos, Riomar, Barranquilla, Atlántico",980,millones,566.0,380.0,4.0,6.0,4.0
1428,Venta de casa condominio las Acacias,casa,False,"Las Acacias, Zipaquirá, Zipaquirá, Cundinamarca",500,millones,144.0,154.0,3.0,5.0,2.0
1429,Casa en Mirador de la Sierra (Valledupar),casa,False,"Valledupar, Valledupar, Valledupar, Cesar",340,millones,140.0,140.0,4.0,4.0,1.0
1430,"Venta Casa Santa Monica, Barrios Unidos 2609555",casa,False,"Santa Monica, Barrios Unidos, Bogotá, Cundinamarca",720,millones,227.0,227.0,6.0,5.0,2.0
1431,Venta Casa - Mosquera Barrio Bremen,casa,False,"Mosquera, Mosquera, Mosquera, Cundinamarca",680,millones,123.0,226.0,4.0,4.0,2.0
1432,Venta De Casa Comercial  San Benito Villavicencio ,casa,False,"San Benito, Villavicencio, Villavicencio, Meta",285,millones,150.0,150.0,4.0,4.0,
1433,"Bogota, Venta Casa ANTIGUA HELVETIA 223 mts ",casa,False,"Suba, Bogotá, Cundinamarca",1050,millones,285.0,223.0,4.0,4.0,3.0
1434,VENTA CASA DEL MONTE II,casa,False,"Suba, Bogotá, Cundinamarca",890,millones,236.0,150.0,3.0,4.0,2.0
1435,EN VENTA CASAS EN EXCLUSIVO CONJUNTO CERRADO,casa,False,"Cerritos, Pereira, Pereira, Risaralda",593,millones,153.0,163.0,3.0,3.0,3.0
1436,Venta Casa Santa Barbara 292 mts ,casa,False,"Santa Barbara, Usaquén, Bogotá, Cundinamarca",998,millones,292.0,292.0,3.0,3.0,3.0
1437,VENTA DE CASA EN CONTADOR ,casa,False,"Usaquén, Bogotá, Cundinamarca",2500,millones,405.0,405.0,4.0,5.0,4.0
1438,"Bogota, Venta Casa en Gratamira  295 mts ",casa,False,"Gratamira , Suba, Bogotá, Cundinamarca",880,millones,295.0,295.0,3.0,4.0,3.0
1439,Casa para venta en Tequendama,casa,False,"Tequendama, Cali, Cali, Valle del Cauca",830,millones,,140.0,4.0,5.0,2.0
1440,Venta Casa en Santa Catalina,casa,False,"Aticos De La Sabana, Suba, Bogotá, Cundinamarca",350,millones,105.0,105.0,4.0,3.0,1.0
1441,Venta casa en Puerta del Sol,casa,False,"Suba, Suba, Bogotá, Cundinamarca",310,millones,36.0,142.0,2.0,2.0,
1442,Venta casa El Cencerro Cajica-1658592,casa,False,"Cajica , Cajicá, Cajicá, Cundinamarca",950,millones,219.0,207.0,3.0,5.0,3.0
1443,venta Casa en Cota,casa,False,"Cota, Cota, Cota, Cundinamarca",1290,millones,500.0,190.0,4.0,5.0,4.0
1444,VENTA / ARRIENDO CASA  -  ALHAMBRA MONACO (Suba),casa,False,"La Alhambra, Suba, Bogotá, Cundinamarca",1180,millones,250.0,230.0,4.0,4.0,3.0
1445,VENTA CASA EDUARDO FREID(ANTONIO NARIÑO),casa,False,"Eduardo Frei, Antonio Nariño, Bogotá, Cundinamarca",590,millones,251.0,251.0,9.0,6.0,2.0
1446,Venta Casa En Niza Antigua,casa,False,"Niza, Suba, Bogotá, Cundinamarca",1200,millones,600.0,600.0,16.0,10.0,2.0
1447,Venta Casa San Jose de Bavaria 220 mts ,casa,False,"San jose de bavaria , Bogotá D.C., Bogotá, Cundinamarca",1900,millones,220.0,,3.0,4.0,4.0
1448,"Venta  casa en urbanización, Rionegro",casa,False,"Sector Colegios, Rionegro, Rionegro, Antioquia",350,millones,180.0,180.0,3.0,3.0,2.0
1449,Venta Casa Gratamira 295 mts ,casa,False,"Gratamira , Suba, Bogotá, Cundinamarca",1000,millones,295.0,,3.0,5.0,3.0
1450,Venta Casa Chapinero Alto - 3097237,casa,False,"Chapinero Alto, Chapinero, Bogotá, Cundinamarca",1300,millones,181.0,320.0,7.0,7.0,1.0
1451,Venta Casa en  Reserva de Mallorca Mosquera ,casa,False,"Mosquera, Mosquera, Mosquera, Cundinamarca",340,millones,110.0,110.0,3.0,3.0,2.0
1452,VENTA CASA RESERVA UPAR VALLEDUPAR,casa,False,"Reserva De Upar , Valledupar, Valledupar, Cesar",380,millones,140.0,140.0,3.0,3.0,1.0
1453,VENTA CASA NORMANDIA 289 MTS ,casa,False,"Normandia, Engativá, Bogotá, Cundinamarca",790,millones,260.0,289.0,4.0,4.0,2.0
1454,CASA BACHUE-VILLA CAROLINA (ENGATIVÁ),casa,False,"Bachué, Engativá, Bogotá, Cundinamarca",220,millones,149.0,149.0,4.0,3.0,
1455,Venta casa Rincón Grande Sopó-2008789,casa,False,"Yerbabuena, Sopo, Sopo, Cundinamarca",1500,millones,980.0,386.0,4.0,3.0,6.0
1456,VENTA CASA EN LAS VILLAS,casa,False,"Las Villas, Suba, Bogotá, Cundinamarca",1200,millones,386.0,244.0,4.0,3.0,3.0
1457,Venta de Casa en Cedritos (Usaquén),casa,False,"Cedritos, Usaquén, Bogotá, Cundinamarca",600,millones,91.0,91.0,4.0,4.0,2.0
1458,VENTA CASA LA GUACA,casa,False,"Puente Aranda, Bogotá, Cundinamarca",495,millones,,156.0,5.0,2.0,2.0
1459,"Bogota, Venta Casa, El Contador, 214 Mts",casa,False,"Contador, Usaquén, Bogotá, Cundinamarca",1200,millones,,214.0,5.0,3.0,2.0
1460,Venta Casa Villavicencio Barrio Olímpico ,casa,False,"La Terminal, Villavicencio, Villavicencio, Meta",200,millones,123.0,123.0,6.0,2.0,
1461,Venta de Casa en San Joaquin. Valledupar ,casa,False,"San Joaquín, Valledupar, Valledupar, Cesar",280,millones,150.0,150.0,3.0,4.0,1.0
1462,VENTA CASA EN CONTADOR 146 MTS BOGOTA ,casa,False,"Contador, Usaquén, Bogotá, Cundinamarca",850,millones,231.0,,3.0,4.0,2.0
1463,VENTA CASA DEL MONTEIII  VISTA AL BOSQUE,casa,False,"Suba, Bogotá, Cundinamarca",680,millones,170.0,138.0,3.0,4.0,2.0
1464,Venta Casa en Niza Antigua 274 mts ,casa,False,"Niza, Suba, Bogotá, Cundinamarca",1200,millones,274.0,274.0,3.0,2.0,4.0
1465,Casa chico navarra 420 mts,casa,False,"Chico Navarra, Usaquén, Bogotá, Cundinamarca",2800,millones,420.0,420.0,4.0,4.0,4.0
1466,VENTA DE EXCELENTE INMUEBLE DOTACIONAL FONTIBON ,casa,False,"Fontibón, Fontibón, Bogotá, Cundinamarca",3000,millones,430.0,430.0,,,
1467,VENTA CASA BIFAMILIAR- MIRADOR DEL LAGO 2 (DOSQUEBRADAS),casa,False,"Dosquebradas, Dosquebradas, Dosquebradas, Risaralda",285,millones,75.0,126.0,4.0,2.0,2.0
1468,VENTA CASA BOSQUE DE PINOS,casa,False,"Bosque De Pinos, Usaquén, Bogotá, Cundinamarca",1800,millones,284.0,284.0,4.0,5.0,3.0
1469,BOGOTA VENDO CASA SAN JOSE DE BAVARIA 440 MTS ,casa,False,"San José de Bavaria, Suba, Bogotá, Cundinamarca",1800,millones,,440.0,4.0,6.0,4.0
1470,Venta de Casa Conjunto El Palmar (Lijacá),casa,False,"Lijaca, Usaquén, Bogotá, Cundinamarca",285,millones,95.0,108.0,4.0,2.0,1.0
1471,VENTA CASA LA ALHAMBRA,casa,False,"La Alhambra, Suba, Bogotá, Cundinamarca",1250,millones,346.0,346.0,4.0,5.0,3.0
1472,VENTA CASA (RIBERA DE LAS MERCEDES JAMUNDI),casa,False,"Las Mercedes, Jamundí, Jamundí, Valle del Cauca",1180,millones,1500.0,388.0,5.0,3.0,4.0
1473,Venta Casa ubicada en Malibu,casa,False,"La Alhambra, Suba, Bogotá, Cundinamarca",1100,millones,,242.0,3.0,5.0,2.0
1474,SE VENDE O ARRIENDA CASA EN SUBA LAS VILLAS,casa,False,"Las Villas, Suba, Bogotá, Cundinamarca",1100,millones,,,5.0,4.0,5.0
1475,VENDO CASA BIFAMILIAR PORTAL DE YUMBO,casa,False,"Yumbo, Yumbo, Valle del Cauca",220,millones,150.0,150.0,3.0,2.0,
1476,Venta de casa chía ,casa,False,"Chia, Chia, Cundinamarca",630,millones,,287.0,4.0,5.0,3.0
1477,VENTA CASA EN CONTADOR CONJUNTO CERRADO,casa,False,"Contador, Usaquén, Bogotá, Cundinamarca",1250,millones,,203.0,3.0,4.0,3.0
1478,VENTA CASA CON JARDIN INFANTIL (PEREIRA),casa,False,"Centro, Pereira, Pereira, Risaralda",500,millones,129.0,278.0,7.0,5.0,2.0
1479,CASA EN VENTA PATIO BONITO,casa,False,"Patio Bonito, Kennedy, Bogotá, Cundinamarca",580,millones,72.0,280.0,12.0,6.0,
1480,Vendo Casa Loma del Escobero (Envigado),casa,False,"Loma Del Escobero, Envigado, Envigado, Antioquia",650,millones,149.0,149.0,4.0,6.0,2.0
1481,Venta de apartamento praderas de la sabana chia,casa,False,"Chia, Chia, Cundinamarca",460,millones,6285.0,160.0,4.0,3.0,1.0
1482,VENTA CASA TIPO CAMPESTRE DENTRO DE LA CIUDAD ,casa,False,"Dosquebradas, Dosquebradas, Dosquebradas, Risaralda",750,millones,758.0,230.0,3.0,3.0,1.0
1483,Venta  casa en Picaleña Mirolindo Ibague ,casa,False,"Picaleña, Ibagué, Ibagué, Tolima",2800,millones,3800.0,3800.0,5.0,6.0,3.0
1484,Venta casa Sopo Cerros Del Virrey-1627850,casa,False,"Sopo, Sopo, Cundinamarca",900,millones,780.0,,3.0,5.0,3.0
1485,Venta Casa local En Puente Aranda,casa,False,"Centro Industrial, Puente Aranda, Bogotá, Cundinamarca",300,millones,78.0,78.0,2.0,2.0,
1486,Venta casa En  Chia,casa,False,"Chia, Chia, Chia, Cundinamarca",320,millones,160.0,160.0,3.0,1.0,
1487,VENTA CASA  EN VILLA CAROLINA VALLEDUPAR,casa,False,"Villa Carolina, Valledupar, Valledupar, Cesar",340,millones,120.0,120.0,3.0,2.0,1.0
1488,Venta Casa Niza Cordoba 223 mts ,casa,False,"Niza, Suba, Bogotá, Cundinamarca",870,millones,223.0,223.0,3.0,3.0,1.0
1489,Venta Casa en Las Villas,casa,False,"Las Villas, Suba, Bogotá, Cundinamarca",830,millones,26620.0,200.0,4.0,4.0,3.0
1490,Venta Casa Cerros de sotileza 460 mts ,casa,False,"Cerros De Suba, Suba, Bogotá, Cundinamarca",2300,millones,460.0,460.0,4.0,6.0,4.0
1491,venta de casa en Claret - Ibagué ,casa,False,"Claret, Ibagué, Ibagué, Tolima",360,millones,212.0,167.0,6.0,3.0,
1492,Venta Casa Gratamira 282 mts ,casa,False,"Cerros De Suba, Suba, Bogotá, Cundinamarca",1160,millones,282.0,,3.0,3.0,3.0
1493,VENTA CASA BODEGA FONTIBON ARABIA,casa,False,"Fontibón, Fontibón, Bogotá, Cundinamarca",1500,millones,,538.0,4.0,7.0,1.0
1494,VENDO CASA BOGOTA PONTEVEDRA 198 MTS,casa,False,"Pontevedra, Suba, Bogotá, Cundinamarca",950,millones,,198.0,4.0,5.0,4.0
1495,VENTA DE CASA EN CHAPINERO ALTO,casa,False,"Chapinero, Chapinero, Bogotá, Cundinamarca",2700,millones,484.0,,6.0,5.0,1.0
1496,Venta Casa Gratamira 282 mts ,casa,False,"Cerros De Suba, Suba, Bogotá, Cundinamarca",1160,millones,282.0,,3.0,3.0,3.0
1497,Venta casa Zipaquira las Acacias-1627439,casa,False,"Zipaquirá, Zipaquirá, Cundinamarca",520,millones,,220.0,4.0,4.0,2.0
1498,Casa en venta La castellana Ibagué,casa,False,"Ibagué, Ibagué, Tolima",320,millones,,190.0,3.0,2.0,1.0
1499,VENTA CASA CONJUNTO CERRADO EN QUINTANAR DEL CERRO (PEREIRA),casa,False,"Pinares, Pereira, Pereira, Risaralda",680,millones,,221.0,4.0,3.0,2.0
1500,VENDO CASA VERSALLES,casa,False,"Versalles, Cali, Cali, Valle del Cauca",680,millones,196.0,323.0,5.0,6.0,
1501,"Bogota, Venta Casa Remodelada Santa Ana Oriental 560 mts",casa,False,"Santa Ana Oriental, Usaquén, Bogotá, Cundinamarca",8000,millones,560.0,560.0,3.0,5.0,3.0
1502,Venta Casa Teusaquillo - 3734513,casa,False,"Teusaquillo, Teusaquillo, Bogotá, Cundinamarca",1950,millones,468.0,717.0,8.0,10.0,8.0
1503,Venta Casa En San Cristobal Norte,casa,False,"San Cristóbal Norte, Usaquén, Bogotá, Cundinamarca",790,millones,380.0,380.0,7.0,7.0,1.0
1504,Venta Casa en Contador 239 mts ,casa,False,"Contador, Usaquén, Bogotá, Cundinamarca",1200,millones,239.0,239.0,5.0,3.0,2.0
1505,VENTA CASA EN CONJUNTO CERRADO,casa,False,"Pinares, Pereira, Pereira, Risaralda",780,millones,473.0,264.0,4.0,5.0,2.0
1506,VENTA CASA CAJICA 825MTS,casa,False,"Cajicá, Cajicá, Cundinamarca",1300,millones,825.0,,5.0,3.0,2.0
1507,"Bogota, Venta Casa Gratamira 250 Mts",casa,False,"Calatayud, Suba, Bogotá, Cundinamarca",1200,millones,,250.0,3.0,6.0,2.0
1508,VENTA CASA LOTE SUBA ,casa,False,"Suba, Suba, Bogotá, Cundinamarca",10500,millones,5972.0,700.0,5.0,5.0,6.0
1509,Casa en venta Bosa - Porvenir,casa,False,"El Porvenir, Bosa, Bogotá, Cundinamarca",350,millones,,,8.0,3.0,1.0
1510,Venta Casa en San Miguel,casa,False,"Barrios Unidos, Bogotá, Cundinamarca",935,millones,229.0,184.0,3.0,3.0,1.0
1511,Venta casa Villa  Alsacia Kennedy,casa,False,"Castilla, Kennedy, Bogotá, Cundinamarca",950,millones,163.0,235.0,4.0,6.0,
1512,Casa Venta El Trebol La Calera,casa,False,"Casco Urbano, La Calera, La Calera, Cundinamarca",1900,millones,4500.0,450.0,3.0,3.0,5.0
1513,Venta casa rentable sector Marsella ,casa,False,"Kennedy, Bogotá, Cundinamarca",650,millones,,178.0,6.0,4.0,2.0
1514,Venta Casa  Central Pereira,casa,False,"Centro, Pereira, Pereira, Risaralda",300,millones,106.0,82.0,3.0,2.0,
1515,"Bogota, Vendo Casa en Niza 229.62 Mts ",casa,False,"Niza, Suba, Bogotá, Cundinamarca",760,millones,229.0,229.0,3.0,4.0,3.0
1516,Venta Casa Torreladera 300 mts ,casa,False,"Torreladera, Suba, Bogotá, Cundinamarca",1350,millones,500.0,300.0,3.0,5.0,2.0
1517,Venta de Casa Villavicencio barrio el Caudal ,casa,False,"Caudal, Villavicencio, Villavicencio, Meta",460,millones,155.0,150.0,3.0,2.0,4.0
1518,VENTA DE CASA SALITRE EL GRECO ( TEUSAQUILLO ) ,casa,False,"Ciudad Salitre Oriental, Teusaquillo, Bogotá, Cundinamarca",1750,millones,276.0,510.0,5.0,5.0,5.0
1519,OPORTUNIDAD VENTA CASA 3 PISOS B. LA CASTELLANA MONTERÍA REMODELAR,casa,False,"Montería, Montería, Córdoba",300,millones,84.0,146.0,,4.0,1.0
1520,VENDO CASA EL PORTAL (ENVIGADO),casa,False,"El Portal, Envigado, Envigado, Antioquia",800,millones,364.0,201.0,8.0,5.0,1.0
1521,VENTA DE CASA NUEVA CASTILLA (KENNEDY),casa,False,"Nueva Castilla, Kennedy, Bogotá, Cundinamarca",220,millones,37.0,74.0,3.0,2.0,
1522,VENTA CASA EN BATAN,casa,False,"Batan, Suba, Bogotá, Cundinamarca",780,millones,100.0,,4.0,5.0,1.0
1523,VENTA CASA EN NIZA ANTIGUA ,casa,False,"Niza, Suba, Bogotá, Cundinamarca",1500,millones,360.0,358.0,,,
1524,Venta De Casa Urbanización  Las Marías VALLEDUPAR,casa,False,"Valledupar, Valledupar, Valledupar, Cesar",862,millones,300.0,,4.0,5.0,2.0
1525,Venta Casa Balcones de San Soucci Villavicencio ,casa,False,"La Azotea, Villavicencio, Villavicencio, Meta",400,millones,234.0,234.0,3.0,4.0,2.0
1526,VENTA CASA PUENTE LARGO,casa,False,"Suba, Bogotá, Cundinamarca",900,millones,220.0,220.0,3.0,3.0,3.0
1527,VENTA DE CASA TORCOROMA USAQUEN,casa,False,"Usaquén, Usaquén, Bogotá, Cundinamarca",660,millones,108.0,145.0,4.0,3.0,1.0
1528,VENTA CASA MARCO FIDEL SUAREZ (Bogotá),casa,False,"Marco Fidel Suárez, Rafael Uribe, Bogotá, Cundinamarca",300,millones,120.0,,6.0,4.0,
1529,Venta Casa Santa Ana Oriental 450 mts ,casa,False,"Santa Ana, Usaquén, Bogotá, Cundinamarca",4950,millones,450.0,450.0,4.0,4.0,4.0
1530,Venta Casa En Unidad Rionegro,casa,False,"El Porvenir, Rionegro, Rionegro, Antioquia",950,millones,162.0,230.0,4.0,4.0,
1531,"VENTA CASA EN MODELIA, BOGOTA",casa,False,"Modelia, Fontibón, Bogotá, Cundinamarca",1100,millones,240.0,240.0,3.0,4.0,3.0
1532,Casa en Venta Guarigua Cajicá,casa,False,"Vereda Calahorra, Cajicá, Cajicá, Cundinamarca",3500,millones,2320.0,570.0,5.0,6.0,3.0
1533,Venta casa Quintas de Guaymaral Chía-1925853,casa,False,"Vereda La Balsa, Chia, Chia, Cundinamarca",1300,millones,,295.0,4.0,6.0,3.0
1534,Casa chico navarra 201 mts,casa,False,"Chico Navarra, Chapinero, Bogotá, Cundinamarca",1500,millones,201.0,201.0,3.0,3.0,
1535,VENTA CASA BIFAMILIAR PALMIRA OBRERO ,casa,False,"Palmira, Palmira, Palmira, Valle del Cauca",310,millones,139.0,139.0,4.0,4.0,
1536,VENTA CASA RINCÓN DEL CHICÓ,casa,False,"Rincón Del Chico, Usaquén, Bogotá, Cundinamarca",2000,millones,300.0,300.0,3.0,2.0,2.0
1537,VENTA CASA LOS CORTIJOS (VALLEDUPAR),casa,False,"Valledupar, Valledupar, Valledupar, Cesar",350,millones,155.0,149.0,4.0,4.0,1.0
1538,Venta de Casa Multifamiliar en La Flora (Cali),casa,False,"La Flora, Cali, Cali, Valle del Cauca",1008,millones,236.0,649.0,9.0,9.0,6.0
1539,Venta de casa en Mosquera,casa,False,"Mosquera, Mosquera, Mosquera, Cundinamarca",350,millones,,126.0,3.0,3.0,1.0
1540,Venta Casa Gratamira 295 mts ,casa,False,"Gratamira , Suba, Bogotá, Cundinamarca",1000,millones,295.0,,3.0,5.0,3.0
1541,VENTA CASA SAN MARTIN,casa,False,"Barrios Unidos, Bogotá, Cundinamarca",650,millones,136.0,214.0,4.0,2.0,1.0
1542,"Bogota, Vendo Casa en Niza 229.62 Mts ",casa,False,"Niza, Suba, Bogotá, Cundinamarca",760,millones,229.0,229.0,3.0,4.0,3.0
1543,VENTA CASA EN EL BATAN,casa,False,"Batan, Suba, Bogotá, Cundinamarca",900,millones,196.0,252.0,4.0,4.0,4.0
1544,VENTA CASA CEDRITOS,casa,False,"Cedritos, Usaquén, Bogotá, Cundinamarca",1000,millones,304.0,153.0,,3.0,2.0
1545,"BOGOTA, VENDO CASA EN CATALAYUD, 250 MTS ",casa,False,"Calatayud, Suba, Bogotá, Cundinamarca",1250,millones,,250.0,3.0,5.0,2.0
1546,Venta Casa En La Primavera-QUIRIGUA,casa,False,"Quirigua, Engativá, Bogotá, Cundinamarca",400,millones,,152.0,4.0,2.0,2.0
1547,VENTA DE CASA  JAMUNDI (CINCO SOLES),casa,False,"Jamundí, Jamundí, Jamundí, Valle del Cauca",330,millones,105.0,98.0,3.0,2.0,2.0
1548,Venta de casa en San Jose de Bavaria,casa,False,"San José de Bavaria, Suba, Bogotá, Cundinamarca",2400,millones,,243.0,4.0,5.0,4.0
1549,BOGOTA VENDO  CASA NORMANDIA 289 MTS ,casa,False,"Normandia, Engativá, Bogotá, Cundinamarca",790,millones,,289.0,4.0,4.0,2.0
1550,VENDO CASA SANTA TERESITA CALI,casa,False,"Santa Teresita, Cali, Cali, Valle del Cauca",1300,millones,481.0,700.0,5.0,4.0,2.0
1551,"Bogota, Venta Casa en San Jose de Bavaria 370 mts ",casa,False,"San José de Bavaria, Suba, Bogotá, Cundinamarca",1600,millones,450.0,370.0,5.0,6.0,3.0
1552,Venta de Casa en Modelia ,casa,False,"Modelia, Fontibón, Bogotá, Cundinamarca",650,millones,196.0,196.0,4.0,3.0,1.0
1553,Venta de casa Soacha Compartir,casa,False,"Compartir, Soacha, Soacha, Cundinamarca",250,millones,60.0,,5.0,4.0,
1554,VENDO CASA CON LOCAL COMERCIAL CALLEJON CAMINO REAL ROZO,casa,False,"Rozo, Palmira, Palmira, Valle del Cauca",280,millones,109.0,140.0,3.0,3.0,3.0
1555,VENTA CASA  EN COLONIA ORIENTAL,casa,False,"Colonia Oriental, Puente Aranda, Bogotá, Cundinamarca",830,millones,400.0,400.0,9.0,9.0,
1556,"Casa amplia con excelente ubicación en Belén, Medellín",casa,False,"Belen, Medellín, Medellín, Antioquia",1200,millones,267.0,190.0,5.0,4.0,2.0
1557,se vende casa en chia central,casa,False,"Ibaro, Chia, Chia, Cundinamarca",250,millones,,110.0,4.0,3.0,
1558,Se vende casa en alborada cota,casa,False,"Variante Cota, Cota, Cota, Cundinamarca",1280,millones,350.0,207.0,3.0,5.0,5.0
1559,"CHIA CASA Conj Cerrado (510) Mtrs2 lote (330) construidos.4 alc, pisos",casa,False,"La Balsa, Chia, Chia, Cundinamarca",940,millones,510.0,330.0,4.0,4.0,5.0
1560,Se Vende Casa En Hacienda San Simón Guaymaral,casa,False,"Guaymaral, Suba, Bogotá, Cundinamarca",2500,millones,2200.0,600.0,5.0,6.0,4.0
1561,Venta Casa en Recreo de los Frailes,casa,False,"Recreo De Los Frailes, Suba, Bogotá, Cundinamarca",1180,millones,257.0,291.0,5.0,7.0,4.0
1562,se vende casa en chia la balsa ,casa,False,"La Balsa, Chia, Chia, Cundinamarca",980,millones,360.0,230.0,,4.0,4.0
1563,Se vende casa con bodega y apartamento en cajica ,casa,False,"Capellania, Cajicá, Cajicá, Cundinamarca",330,millones,90.0,180.0,1.0,4.0,2.0
1564,Se vende casa en aposentos,casa,False,"Aposentos, Sopo, Sopo, Cundinamarca",2200,millones,700.0,440.0,4.0,5.0,5.0
1565,Se vende casa en cota Palo E monte,casa,False,"Variante Cota, Cota, Cota, Cundinamarca",1500,millones,613.0,360.0,3.0,4.0,4.0
1566,Se vende casa en chia variante,casa,False,"Guaymaral, Chia, Chia, Cundinamarca",790,millones,150.0,170.0,4.0,3.0,3.0
1567,VENTA CASA CHÍA - CHILACOS,casa,False,"Chilacos, Chia, Chia, Cundinamarca",550,millones,150.0,150.0,4.0,3.0,2.0
1568,Se Vende Casa En Chia Avenida Chilacos,casa,False,"Avenida Chilacos, Chia, Chia, Cundinamarca",600,millones,230.0,200.0,4.0,6.0,4.0
1569,Se vende casa en aposentos,casa,False,"Aposento, Sopo, Sopo, Cundinamarca",2700,millones,,590.0,4.0,5.0,6.0
1570,Se vende casa en chia,casa,False,"Rio Frio, Chia, Chia, Cundinamarca",550,millones,,165.0,4.0,4.0,2.0
1571,se vende casa en caminos de chunugua,casa,False,"Variante Zipa, Cajicá, Cajicá, Cundinamarca",1900,millones,1107.0,361.0,4.0,6.0,6.0
1572,Hermosa y amplia casa de 2 niveles en Usaquén,casa,False,"Usaquén, Usaquén, Bogotá, Cundinamarca",630,millones,170.0,170.0,3.0,3.0,2.0
1573,Se vende casa en yerbabuena,casa,False,"Yerbabuena 2, Chia, Chia, Cundinamarca",1450,millones,2500.0,255.0,4.0,3.0,10.0
1574,Excelente oportunidad de INVERSIÓN: Casa con 11 apartaestudios en  Sierra Morena,casa,False,"Sierra Morena, Ciudad Bolívar, Bogotá, Cundinamarca",520,millones,200.0,200.0,11.0,11.0,
1575,se vende hermosa casa quinta guayamaral,casa,False,"Guaymaral, Suba, Bogotá, Cundinamarca",2300,millones,1400.0,300.0,5.0,7.0,10.0
1576,Se vende o se arrienda casa en condominio aposentos sopo  cundinamarca,casa,False,"Aposentos, Sopo, Sopo, Cundinamarca",2600,millones,1080.0,470.0,4.0,5.0,5.0
