,Titulo,Tipo,Nuevo,Ubicacion,Precio,Precio en,total inmueble (m2),techado (m2),habitaciones,baños,parqueaderos
765,APARTAMENTO EN COLINAS DE SUBA,apartamento,False,"Cerros De Suba, Suba, Bogotá, Cundinamarca",3000,millones,444.0,,4.0,6.0,4.0
766,Venta Apartamento en la Cabrera 324 mts ,apartamento,False,"Cabrera, Chapinero, Bogotá, Cundinamarca",2650,millones,324.0,324.0,3.0,5.0,4.0
767,"Bogota, Venta Apartamento Virrey 167 mts ",apartamento,False,"Virrey, Chapinero, Bogotá, Cundinamarca",1894,millones,167.0,167.0,3.0,4.0,2.0
768,VENTA APARTAMENTO TRES ALCOBAS ROSALES BOGOTA ,apartamento,False,"Rosales, Chapinero, Bogotá, Cundinamarca",3857,millones,,300.0,3.0,4.0,3.0
769,Proyecto FIORHÉ - Apartamentos en venta en Chicó,apartamento,False,"Chico, Chapinero, Bogotá, Cundinamarca",1371,millones,,90.0,1.0,2.0,1.0
770,Apartamento en venta en La Alhambra,apartamento,False,"La Alhambra, Suba, Bogotá, Cundinamarca",600,millones,,98.0,3.0,2.0,2.0
771,Apartamento Dúplex moderno en venta o arriendo en Santa Bárbara ,apartamento,False,"Santa Barbara, Usaquén, Bogotá, Cundinamarca",1000,millones,,138.0,3.0,3.0,2.0
772,"Bogota, Venta Apartamento Calleja Baja 178 mts ",apartamento,False,"Calle Baja, Usaquén, Bogotá, Cundinamarca",1300,millones,178.0,178.0,3.0,3.0,4.0
773,"Bogotá, Venta Apartamento en los Rosales, área 326 mts",apartamento,False,"Rosales, Chapinero, Bogotá, Cundinamarca",4050,millones,,326.0,3.0,4.0,5.0
774,VENTA DE APARTAMENTO CAPELLANIA (FONTIBON),apartamento,False,"Capellanía, Fontibón, Bogotá, Cundinamarca",285,millones,64.0,64.0,3.0,2.0,1.0
775,Venta Apartamento Bella Suiza 167 mts ,apartamento,False,"Bella Suiza, Usaquén, Bogotá, Cundinamarca",850,millones,167.0,167.0,4.0,4.0,2.0
